mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Redmi Note 7S (Sapphire Blue, 64 GB)  (4 GB RAM)",MZB7742IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,64 GB,4 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme 5 (Crystal Purple, 32 GB)  (3 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,32 GB,3 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Realme 5 (Crystal Blue, 64 GB)  (4 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,64 GB,4 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Realme 5 (Crystal Purple, 64 GB)  (4 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,64 GB,4 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Realme 5 (Crystal Blue, 128 GB)  (4 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,128 GB,4 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Realme 5 (Crystal Blue, 32 GB)  (3 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,32 GB,3 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Realme 5 (Crystal Purple, 128 GB)  (4 GB RAM)",RMX1911,Dual Sim,16.51 cm (6.5 inch),720 x 1600 pixels,Qualcomm Snapdragon 665 2 GHz,Octa Core,128 GB,4 GB,"12MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",5000 mAH
"Redmi Note 7 Pro (Neptune Blue, 64 GB)  (4 GB RAM)",MZB7464IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675,Octa Core,64 GB,4 GB,48MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Realme C2 (Diamond Blue, 32 GB)  (3 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,2 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme C2 (Diamond Blue, 32 GB)  (2 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,2 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme C2 (Diamond Black, 32 GB)  (3 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme C2 (Diamond Ruby, 32 GB)  (3 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme C2 (Diamond Sapphire, 32 GB)  (3 GB RAM)",RMX1941,Dual Sim,15.49 cm (6.1 inch),1560 x 720 pixels,MediaTek P22 Octa Core 2.0 GHz,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Redmi Note 7S (Onyx Black, 32 GB)  (3 GB RAM)",MZB7744IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,32 GB,3 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Vivo Z1Pro (Sonic Blue, 128 GB)  (6 GB RAM)",Vivo 1951/PD1911F_EX,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz,Octa Core,128 GB,6 GB,16MP + 8MP + 2MP,"3G, 4G VOLTE, 4G, 2G",5000 mAh
"Vivo Z1Pro (Sonic Black, 64 GB)  (4 GB RAM)",Vivo 1951/PD1911F_EX,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz,Octa Core,64 GB,4 GB,16MP + 8MP + 2MP,"3G, 4G VOLTE, 4G, 2G",5000 mAh
"Vivo Z1Pro (Sonic Black, 128 GB)  (6 GB RAM)",Vivo 1951/PD1911F_EX,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz,Octa Core,128 GB,6 GB,16MP + 8MP + 2MP,"3G, 4G VOLTE, 4G, 2G",5000 mAh
